tweet_id,favorites,retweets,user_followers,user_favourites,date_time
684460069371654144,2027,571,8333966,143197,2016-01-05 19:42:51+00:00
684241637099323392,8356,3374,8333966,143197,2016-01-05 05:14:53+00:00
684225744407494656,1263,214,8333966,143197,2016-01-05 04:11:44+00:00
684222868335505415,3923,1406,8333966,143197,2016-01-05 04:00:18+00:00
684200372118904832,2216,1059,8333966,143197,2016-01-05 02:30:55+00:00
684195085588783105,1961,525,8333966,143197,2016-01-05 02:09:54+00:00
684188786104872960,3578,1210,8333966,143197,2016-01-05 01:44:52+00:00
684177701129875456,2066,680,8333966,143197,2016-01-05 01:00:50+00:00
684147889187209216,3054,1546,8333966,143197,2016-01-04 23:02:22+00:00
684122891630342144,2053,483,8333966,143197,2016-01-04 21:23:02+00:00
684097758874210310,4221,1468,8333966,143197,2016-01-04 19:43:10+00:00
683857920510050305,3902,1142,8333966,143197,2016-01-04 03:50:08+00:00
683852578183077888,1978,357,8333966,143197,2016-01-04 03:28:54+00:00
683849932751646720,2672,995,8333966,143197,2016-01-04 03:18:23+00:00
683834909291606017,2691,1139,8333966,143197,2016-01-04 02:18:42+00:00
683828599284170753,2871,1094,8333966,143197,2016-01-04 01:53:37+00:00
683773439333797890,3425,1393,8333966,143197,2016-01-03 22:14:26+00:00
683742671509258241,6652,3414,8333966,143197,2016-01-03 20:12:10+00:00
683515932363329536,7518,2972,8333966,143197,2016-01-03 05:11:12+00:00
683498322573824003,3239,987,8333966,143197,2016-01-03 04:01:13+00:00
683481228088049664,2710,1023,8333966,143197,2016-01-03 02:53:17+00:00
683462770029932544,2486,695,8333966,143197,2016-01-03 01:39:57+00:00
683449695444799489,3997,1641,8333966,143197,2016-01-03 00:47:59+00:00
683391852557561860,7819,2461,8333966,143197,2016-01-02 20:58:09+00:00
683357973142474752,3003,953,8333966,143197,2016-01-02 18:43:31+00:00
683142553609318400,2951,1071,8333966,143197,2016-01-02 04:27:31+00:00
683111407806746624,3477,935,8333966,143197,2016-01-02 02:23:45+00:00
683098815881154561,2213,677,8333966,143197,2016-01-02 01:33:43+00:00
683078886620553216,2033,578,8333966,143197,2016-01-02 00:14:32+00:00
683030066213818368,2206,753,8333966,143197,2016-01-01 21:00:32+00:00
682962037429899265,37803,17097,8333966,143197,2016-01-01 16:30:13+00:00
682808988178739200,1821,180,8333966,143197,2016-01-01 06:22:03+00:00
682788441537560576,2532,1140,8333966,143197,2016-01-01 05:00:24+00:00
682750546109968385,1552,449,8333966,143197,2016-01-01 02:29:49+00:00
682697186228989953,1343,369,8333966,143197,2015-12-31 22:57:47+00:00
682662431982772225,3133,1111,8333966,143197,2015-12-31 20:39:41+00:00
682638830361513985,2114,619,8333966,143197,2015-12-31 19:05:54+00:00
682429480204398592,3513,1194,8333966,143197,2015-12-31 05:14:01+00:00
682406705142087680,7768,1811,8333966,143197,2015-12-31 03:43:31+00:00
682393905736888321,2288,696,8333966,143197,2015-12-31 02:52:40+00:00
682389078323662849,1704,476,8333966,143197,2015-12-31 02:33:29+00:00
682303737705140231,3135,1022,8333966,143197,2015-12-30 20:54:22+00:00
682259524040966145,4261,1241,8333966,143197,2015-12-30 17:58:40+00:00
682242692827447297,3336,1201,8333966,143197,2015-12-30 16:51:48+00:00
682088079302213632,18729,10152,8333966,143197,2015-12-30 06:37:25+00:00
682059653698686977,5065,1734,8333966,143197,2015-12-30 04:44:28+00:00
682047327939461121,3269,976,8333966,143197,2015-12-30 03:55:29+00:00
682032003584274432,6748,2069,8333966,143197,2015-12-30 02:54:35+00:00
682003177596559360,3214,1569,8333966,143197,2015-12-30 01:00:03+00:00
681981167097122816,2867,1064,8333966,143197,2015-12-29 23:32:35+00:00
681891461017812993,2522,839,8333966,143197,2015-12-29 17:36:07+00:00
681694085539872773,13089,4174,8334621,143198,2015-12-29 04:31:49+00:00
681679526984871937,1810,458,8333966,143197,2015-12-29 03:33:58+00:00
681654059175129088,2700,952,8333966,143197,2015-12-29 01:52:46+00:00
681610798867845120,1949,484,8333966,143197,2015-12-28 23:00:52+00:00
681579835668455424,3634,1338,8333966,143197,2015-12-28 20:57:50+00:00
681523177663676416,14658,5931,8333966,143197,2015-12-28 17:12:42+00:00
681340665377193984,1673,287,8333966,143197,2015-12-28 05:07:27+00:00
681339448655802368,9513,4194,8333966,143197,2015-12-28 05:02:37+00:00
681320187870711809,2707,771,8333966,143197,2015-12-28 03:46:05+00:00
681302363064414209,4039,1864,8333966,143197,2015-12-28 02:35:15+00:00
681297372102656000,3282,986,8333966,143197,2015-12-28 02:15:26+00:00
681281657291280384,3296,1126,8333966,143197,2015-12-28 01:12:59+00:00
681261549936340994,1489,281,8333966,143197,2015-12-27 23:53:05+00:00
681242418453299201,1519,551,8333966,143197,2015-12-27 22:37:04+00:00
681231109724700672,2460,500,8333966,143197,2015-12-27 21:52:07+00:00
681193455364796417,3783,1527,8333966,143197,2015-12-27 19:22:30+00:00
680970795137544192,2477,676,8333966,143197,2015-12-27 04:37:44+00:00
680959110691590145,4675,2052,8333966,143197,2015-12-27 03:51:18+00:00
680940246314430465,3279,1077,8333966,143197,2015-12-27 02:36:20+00:00
680934982542561280,2120,447,8333966,143197,2015-12-27 02:15:25+00:00
680913438424612864,2454,637,8333966,143197,2015-12-27 00:49:49+00:00
680889648562991104,1803,375,8333966,143197,2015-12-26 23:15:17+00:00
680836378243002368,3539,1358,8333966,143197,2015-12-26 19:43:36+00:00
680805554198020098,2203,679,8333966,143197,2015-12-26 17:41:07+00:00
680801747103793152,2427,837,8333966,143197,2015-12-26 17:25:59+00:00
680798457301471234,2915,1064,8333966,143197,2015-12-26 17:12:55+00:00
680609293079592961,2698,724,8333966,143197,2015-12-26 04:41:15+00:00
680583894916304897,3709,1376,8333966,143197,2015-12-26 03:00:19+00:00
680497766108381184,4325,1966,8333966,143197,2015-12-25 21:18:05+00:00
680494726643068929,1760,495,8333966,143197,2015-12-25 21:06:00+00:00
680473011644985345,2603,759,8333966,143197,2015-12-25 19:39:43+00:00
680440374763077632,1483,512,8333966,143197,2015-12-25 17:30:01+00:00
